1,97,0.75,1
1,100,0.75,2
1,116,0.75,3
1,123,0.75,4
1,133,0.75,5
1,145,0.75,6
1,171,0.75,7
1,182,0.75,8
2,8,0.41667,9
2,26,0.41667,10
2,31,0.66667,11
2,45,0.875,12
2,50,0.41667,13
2,72,0.33333,14
2,82,0.58333,15
2,86,0.66667,16
2,94,0.66667,17
2,98,0.41667,18
2,120,0.41667,19
2,128,0.66667,20
2,147,0.41667,21
2,156,0.66667,22
2,183,0.41667,23
3,11,1,24
3,40,1,25
3,113,0.75,26
3,114,1,27
3,176,1,28
3,179,0.75,29
3,184,0.75,30
3,192,1,31
4,26,0.41667,32
4,43,0.66667,33
4,50,0.58333,34
4,54,0.41667,35
4,73,0.66667,36
4,88,0.66667,37
4,143,0.66667,38
4,164,0.41667,39
4,167,0.41667,40
4,177,0.41667,41
4,187,0.41667,42
5,91,0.75,43
5,92,1,44
5,108,0.75,45
5,148,0.75,46
5,150,0.75,47
5,161,0.75,48
5,174,0.83333,49
5,186,0.75,50
5,188,0.75,51
6,95,1,52
6,159,1,53
6,193,1,54
7,29,1,55
7,52,0.5,56
7,67,0.75,57
7,83,0.75,58
7,103,0.75,59
7,109,0.75,60
7,132,0.5,61
7,143,0.75,62
7,152,0.75,63
7,158,0.75,64
7,165,0.5,65
7,189,1,66
8,10,0.375,67
8,27,0.5,68
8,31,0.75,69
8,72,0.41667,70
8,98,0.5,71
8,156,0.75,72
8,183,0.5,73
9,13,0.75,74
9,18,1,75
9,49,1,76
9,76,1,77
9,166,1,78
9,198,1,79
10,55,0.625,80
10,57,0.625,81
10,62,0.375,82
10,74,0.625,83
10,82,0.25,84
10,98,0.375,85
10,105,0.375,86
10,116,0.625,87
10,121,0.625,88
10,125,0.75,89
10,129,0.625,90
10,154,0.625,91
10,156,0.625,92
10,175,0.625,93
10,183,0.375,94
10,194,0.625,95
11,77,0.75,96
11,87,1,97
11,114,1,98
11,167,0.75,99
11,179,0.75,100
12,104,1,101
12,112,0.75,102
12,118,1,103
12,199,0.66667,104
13,37,0.75,105
13,49,0.75,106
13,76,0.75,107
13,99,0.75,108
13,117,0.75,109
13,136,0.75,110
14,97,1,111
14,119,1,112
14,123,1,113
14,133,1,114
14,197,1,115
15,62,0.75,116
15,95,1,117
15,102,1,118
15,140,1,119
15,159,1,120
15,187,0.75,121
16,29,0.75,122
16,44,1,123
16,109,1,124
16,138,0.75,125
16,139,1,126
17,58,0.75,127
17,64,0.75,128
17,100,0.75,129
17,103,0.75,130
17,119,0.75,131
17,145,0.75,132
17,171,0.75,133
17,189,0.5,134
18,41,1,135
18,115,0.75,136
18,166,1,137
18,179,0.75,138
18,198,1,139
19,99,1,140
19,136,1,141
19,160,1,142
20,36,0.75,143
20,74,1,144
20,107,1,145
20,147,0.75,146
20,172,1,147
20,185,1,148
20,191,1,149
21,53,1,150
21,66,1,151
21,70,1,152
21,91,1,153
21,101,1,154
21,163,1,155
22,42,1,156
22,64,1,157
22,75,1,158
22,113,0.75,159
22,144,1,160
22,197,1,161
23,44,1,162
23,59,1,163
23,106,0.75,164
23,134,1,165
23,139,1,166
23,196,1,167
24,69,0.75,168
24,71,0.5,169
24,102,0.75,170
24,124,0.75,171
24,126,0.75,172
24,174,0.41667,173
24,178,0.75,174
24,187,0.5,175
24,188,0.75,176
24,200,0.75,177
25,38,1,178
25,75,1,179
25,118,1,180
25,121,1,181
25,144,1,182
25,155,1,183
25,183,0.75,184
26,43,0.75,185
26,47,0.5,186
26,48,0.75,187
26,50,0.5,188
26,82,0.75,189
26,135,0.75,190
26,177,0.5,191
26,195,0.75,192
27,56,0.75,193
27,63,0.75,194
27,72,0.41667,195
27,111,0.75,196
27,112,0.5,197
27,154,0.75,198
27,199,0.83333,199
28,51,1,200
28,65,1,201
28,68,1,202
28,89,1,203
28,130,1,204
28,173,1,205
28,180,1,206
29,64,0.75,207
29,77,0.5,208
29,103,0.75,209
29,109,0.75,210
29,113,0.5,211
29,138,0.5,212
29,143,0.75,213
30,58,1,214
30,132,0.75,215
30,152,1,216
30,171,1,217
30,189,0.75,218
31,72,0.66667,219
31,94,1,220
31,98,0.75,221
31,183,0.75,222
31,199,0.66667,223
32,53,1,224
32,59,1,225
32,70,1,226
32,83,1,227
32,84,1,228
32,158,1,229
33,96,1,230
33,183,0.75,231
33,195,1,232
34,71,0.75,233
34,120,0.75,234
34,162,1,235
35,84,1,236
35,90,1,237
35,110,1,238
35,153,1,239
35,157,1,240
35,163,1,241
36,78,0.75,242
36,111,0.75,243
36,137,0.75,244
36,142,0.75,245
36,147,0.5,246
36,149,0.75,247
36,170,0.75,248
36,185,0.75,249
36,199,0.41667,250
37,68,1,251
37,76,1,252
37,117,1,253
37,130,1,254
37,136,1,255
37,176,1,256
37,184,0.75,257
